territorio,anno,area,codice_istat,Generale,Contesto,Bambini,Donne,Contesto|Ambiente,Contesto|Abitazione,Contesto|Evoluzione digitale,Contesto|Sicurezza e protezione,Contesto|Violenza contro donne e bambini,Bambini|Salute,Bambini|Istruzione,Bambini|Povertà educativa,Bambini|Capitale umano,Bambini|Capitale economico,Donne|Salute,Donne|Educazione,Donne|Opportunità economiche,Donne|Conciliazione vita-lavoro,Donne|Partecipazione politica,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Molise,2019,Sud,14,52.7,72.8,39.4,50.9,81.5,90.0,60.8,85.9,53.5,17.8,61.3,32.1,65.0,41.8,46.4,58.8,31.0,63.8,63.5,13.66666666666667,368.0,7.9,12.2,58.0,18.9,0.0,6.3,,48.065110565110565,33.5,2.15,34.1,43.4,10.7,8.1,62.4,24.2,32.9,21467.70776637988,64.5,54.4,31.2,8.8,22.7703931902834,32.9,22.7,81.7,40.0,28.6
Molise,2020,Sud,14,52.5,74.6,37.4,51.8,81.6,88.8,62.1,92.4,55.6,14.4,61.3,32.9,62.5,40.3,50.9,56.6,32.6,62.6,63.5,13.66666666666667,367.0,7.0,15.4,60.5,18.9,0.0,3.4,,46.141215106732346,31.9,1.95,34.1,43.4,9.2,5.2,62.8,21.3,32.6,20321.565003362477,65.1,56.9,31.5,8.0,21.6166901748394,32.6,21.7,81.3,40.0,28.6
Molise,2021,Sud,14,52.3,75.3,35.8,53.0,81.6,88.1,63.4,88.6,60.1,14.4,57.5,36.2,46.1,42.3,51.4,71.0,26.4,68.5,63.5,13.66666666666667,367.0,11.6,12.3,63.2,18.9,0.0,5.1,,39.740099009900995,31.9,1.95,37.8,47.1,7.6,5.2,63.1,4.1,32.4,21700.12525238745,66.3,56.8,40.6,9.7,24.9135026683797,32.4,21.7,93.1,40.0,28.6
Molise,2022,Sud,14,50.9,75.3,35.8,49.0,81.6,88.1,63.4,88.6,60.1,14.4,57.5,36.2,46.1,42.3,51.4,71.0,26.4,68.5,42.9,13.66666666666667,367.0,11.6,12.3,63.2,18.9,0.0,5.1,,39.740099009900995,31.9,1.95,39.9,45.0,7.6,5.2,63.1,4.1,32.4,21700.12525238745,66.3,56.8,40.6,9.7,24.9135026683797,32.4,21.7,93.1,25.0,28.6
Piemonte,2018,Nord-ovest,1,57.1,65.6,51.8,54.8,52.8,96.4,70.9,50.0,67.4,35.0,67.5,34.2,77.6,59.3,51.5,67.6,36.4,72.6,53.7,17.7502952787939,498.0,3.3,3.9,64.4,23.0,0.5,14.1,0.32485661825589357,22.458765706768595,21.2,2.24,30.4,34.5,13.5,17.7,62.9,36.9,26.6,31658.90647123894,64.1,57.5,39.4,9.0,13.8395978806735,26.6,28.6,87.3,35.3,25.5
Piemonte,2019,Nord-ovest,1,57.4,69.4,52.9,51.5,57.1,96.8,71.5,51.1,79.5,33.0,66.8,40.5,77.4,59.7,52.0,59.8,36.9,73.2,43.3,16.28571428571428,496.0,3.6,2.7,63.6,23.6,0.6,12.3,0.13508341400815002,17.256391684260812,22.7,2.23,31.8,34.7,10.7,18.3,63.5,36.3,26.6,31931.606685571427,66.5,57.1,30.6,9.3,13.6090310670952,26.6,30.1,85.6,35.3,15.7
Piemonte,2020,Nord-ovest,1,55.7,67.7,49.7,51.3,58.4,93.5,72.1,59.0,61.2,30.3,66.8,36.0,73.9,56.4,54.3,55.4,37.3,73.2,43.3,16.28571428571428,486.0,8.7,4.2,64.7,23.6,0.7,7.5,0.5439754268167193,20.40742929875751,23.6,2.17,31.8,34.7,12.1,16.3,63.8,32.5,26.6,29551.425602944255,64.7,59.0,32.8,7.2,13.369144123362,26.6,30.8,84.2,35.3,15.7
Piemonte,2021,Nord-ovest,1,55.4,69.6,46.5,52.5,58.4,93.2,74.8,58.2,68.9,30.3,61.8,37.4,52.1,59.8,54.7,65.6,36.8,69.7,43.3,16.28571428571428,486.0,9.8,3.8,70.2,23.6,0.7,7.9,0.3653938248900336,18.71767996066658,23.6,2.17,35.9,40.6,11.4,16.3,64.2,9.6,26.6,31948.79936374719,64.5,59.3,31.7,10.8,13.6176699485911,26.6,30.8,77.2,35.3,15.7
Piemonte,2022,Nord-ovest,1,54.5,69.6,46.7,49.8,58.4,93.2,74.8,58.2,68.9,30.3,62.7,37.4,52.1,59.8,54.7,65.6,36.8,69.7,33.2,16.28571428571428,486.0,9.8,3.8,70.2,23.6,0.7,7.9,0.3653938248900336,18.71767996066658,23.6,2.17,35.7,38.9,11.4,16.3,64.2,9.6,26.6,31948.79936374719,64.5,59.3,31.7,10.8,13.6176699485911,26.6,30.8,77.2,27.906976744186046,15.7
Provincia Autonoma di Bolzano/Bozen,2018,Nord-est,21,67.0,70.0,71.2,60.3,65.8,96.0,71.0,56.2,66.5,53.2,63.0,74.5,87.4,84.0,77.3,71.5,34.5,62.7,66.4,12.88187863508805,500.0,7.3,0.7,74.1,20.2,0.8,7.6,0.5009775324101152,15.658104340900039,13.0,2.55,41.4,32.7,11.0,60.3,69.0,42.9,21.9,47375.79406622517,72.2,70.3,37.0,11.0,10.5075803667605,21.9,26.8,71.3,44.4,25.7
Provincia Autonoma di Bolzano/Bozen,2019,Nord-est,21,69.3,78.1,70.4,60.4,70.0,96.9,75.0,71.1,80.4,52.8,61.1,71.8,87.7,85.3,79.1,74.6,34.2,60.2,66.4,11.5,497.0,4.4,1.7,70.5,23.6,0.2,9.2,0.18326463963757583,13.490404523013218,14.0,2.58,43.6,34.3,11.6,58.5,68.8,43.3,22.6,48548.4627996237,73.2,71.1,41.6,10.5,11.385261018597,22.6,23.7,72.4,44.4,25.7
Provincia Autonoma di Bolzano/Bozen,2020,Nord-est,21,65.4,74.6,67.4,55.6,74.5,96.2,76.1,68.3,62.1,52.2,61.1,64.7,84.4,80.0,72.2,63.7,29.8,58.2,66.4,11.5,464.0,6.4,1.2,72.8,23.6,0.6,4.6,0.7428523673776383,11.665317945889667,15.0,2.6,43.6,34.3,13.6,55.0,70.5,38.7,22.7,44888.829653428256,70.3,67.9,38.3,8.1,13.9033273265079,22.7,23.2,69.4,44.4,25.7
Provincia Autonoma di Bolzano/Bozen,2021,Nord-est,21,63.2,74.6,61.6,55.0,74.5,95.0,76.7,69.0,61.7,52.2,54.6,66.2,55.6,84.4,74.4,58.0,30.3,57.9,66.4,11.5,464.0,8.4,1.7,74.0,23.6,0.6,4.3,0.7415825742926693,12.23471246422066,15.0,2.6,48.4,42.4,12.9,55.0,69.7,9.4,22.9,48043.785663169736,71.2,68.9,30.0,8.9,13.8570035946662,22.9,23.2,68.8,44.4,25.7
Provincia Autonoma di Bolzano/Bozen,2022,Nord-est,21,63.7,74.6,61.8,56.2,74.5,95.0,76.7,69.0,61.7,52.2,55.4,66.2,55.6,84.4,74.4,58.0,30.3,57.9,74.1,11.5,464.0,8.4,1.7,74.0,23.6,0.6,4.3,0.7415825742926693,12.23471246422066,15.0,2.6,47.7,41.5,12.9,55.0,69.7,9.4,22.9,48043.785663169736,71.2,68.9,30.0,8.9,13.8570035946662,22.9,23.2,68.8,53.84615384615385,25.7
Provincia Autonoma di Trento,2018,Nord-est,22,67.9,72.5,68.4,63.1,58.4,96.3,80.2,61.6,72.0,45.7,73.8,70.5,88.0,71.6,68.4,88.6,30.6,81.2,66.4,14.90391433658297,514.0,5.2,2.2,74.0,25.7,0.4,10.3,0.12114905028230757,27.21704198613398,15.0,2.36,27.1,25.4,6.8,44.8,70.3,42.6,21.7,38550.73695467944,69.8,65.8,47.8,13.0,12.5550705617883,21.7,38.4,84.7,44.4,25.7
Provincia Autonoma di Trento,2019,Nord-est,22,67.3,72.3,69.5,60.8,61.1,97.5,83.3,56.9,70.0,46.7,73.6,71.2,90.8,72.8,60.6,85.4,30.5,78.9,66.4,13.66666666666667,519.0,3.6,1.4,73.1,27.8,0.6,9.7,0.3607998210432888,17.507440397386066,16.0,2.44,27.9,24.9,6.7,45.4,69.8,45.8,21.8,39492.69973374954,69.2,61.4,44.9,12.9,12.6924823423718,21.8,38.2,80.5,44.4,25.7
Provincia Autonoma di Trento,2020,Nord-est,22,68.3,80.0,64.8,61.5,65.6,97.2,83.8,82.3,74.6,41.8,73.6,63.7,84.1,69.4,67.4,78.0,31.6,79.5,66.4,13.66666666666667,486.0,4.4,1.1,74.1,27.8,0.2,4.2,0.3659571976461633,11.665317945889667,18.5,2.37,27.9,24.9,7.8,39.0,70.1,38.7,22.0,37120.10198234645,69.7,65.2,41.3,11.7,12.2558427518686,22.0,37.9,82.3,44.4,25.7
Provincia Autonoma di Trento,2021,Nord-est,22,67.0,80.4,59.6,62.6,65.6,97.7,84.1,83.9,74.2,41.8,68.4,61.6,58.6,73.2,62.8,89.0,33.2,78.2,66.4,13.66666666666667,486.0,3.0,1.6,74.7,27.8,0.2,3.5,0.36322294987886516,12.23471246422066,18.5,2.37,32.0,31.2,8.8,39.0,70.4,12.0,22.3,39947.36935376662,66.1,63.6,41.5,15.1,11.6534918713745,22.3,37.9,79.8,44.4,25.7
Provincia Autonoma di Trento,2022,Nord-est,22,67.5,80.4,59.7,64.0,65.6,97.7,84.1,83.9,74.2,41.8,68.5,61.6,58.6,73.2,62.8,89.0,33.2,78.2,74.1,13.66666666666667,486.0,3.0,1.6,74.7,27.8,0.2,3.5,0.36322294987886516,12.23471246422066,18.5,2.37,32.4,30.6,8.8,39.0,70.4,12.0,22.3,39947.36935376662,66.1,63.6,41.5,15.1,11.6534918713745,22.3,37.9,79.8,53.84615384615385,25.7
Puglia,2018,Sud,16,45.5,61.3,39.5,38.8,66.3,91.5,49.4,49.5,58.1,39.4,58.3,17.1,59.2,41.3,50.2,47.5,15.0,54.6,45.3,13.88568386561016,476.0,5.9,11.0,55.0,13.0,0.8,10.6,0.15990395528829565,42.13243754140284,29.2,2.76,38.3,45.1,17.6,7.4,50.3,26.6,26.3,18818.142137054314,66.0,56.2,30.0,5.6,25.6120402683783,26.3,16.8,75.2,41.3,9.8
Puglia,2019,Sud,16,46.7,67.0,40.2,37.7,70.9,93.1,57.9,56.4,62.7,38.9,58.5,17.4,63.7,41.8,50.7,45.1,12.9,57.1,45.3,12.40740740740741,472.0,6.1,7.8,55.3,18.0,0.7,8.7,0.1473854919125896,37.24031137784073,31.2,2.83,38.3,44.7,17.8,8.2,51.4,30.5,26.3,19128.302809756835,66.6,56.3,26.0,6.1,26.7645416938715,26.3,18.9,75.9,41.3,9.8
Puglia,2020,Sud,16,46.3,70.3,36.4,38.8,71.3,93.2,59.2,63.6,68.6,33.9,58.5,14.2,56.7,40.3,58.6,42.6,13.1,54.6,49.4,12.40740740740741,469.0,6.0,7.6,57.8,18.0,0.6,6.7,0.049430462214366075,35.602636549799115,33.8,2.76,38.3,44.7,18.5,6.1,51.4,23.2,26.2,18035.911913528595,67.4,60.7,25.0,5.6,26.5651028167067,26.2,19.6,69.6,41.3,13.7
Puglia,2021,Sud,16,45.7,68.9,34.5,40.2,71.3,93.8,61.1,66.1,57.5,33.9,54.4,16.1,39.3,42.1,54.7,51.1,14.5,52.1,49.4,12.40740740740741,469.0,5.2,7.1,61.7,18.0,0.6,5.6,0.39704745585638795,31.210953418451005,33.8,2.76,42.0,49.3,17.6,6.1,51.7,5.0,26.4,19426.81064199165,66.2,58.8,27.9,7.4,25.9591444193577,26.4,19.6,64.5,41.3,13.7
Puglia,2022,Sud,16,43.9,68.9,34.4,35.6,71.3,93.8,61.1,66.1,57.5,33.9,53.6,16.1,39.3,42.1,54.7,51.1,14.5,52.1,27.0,12.40740740740741,469.0,5.2,7.1,61.7,18.0,0.6,5.6,0.39704745585638795,31.210953418451005,33.8,2.76,42.5,50.3,17.6,6.1,51.7,5.0,26.4,19426.81064199165,66.2,58.8,27.9,7.4,25.9591444193577,26.4,19.6,64.5,25.0,13.7
Sardegna,2018,Isole,20,51.8,67.6,47.5,43.3,78.4,86.6,68.4,62.4,48.6,67.2,54.4,23.3,63.5,44.9,51.1,56.1,32.3,68.9,23.7,10.2087107960955,461.0,9.2,17.6,66.8,20.8,0.7,6.0,0.3175615717154259,45.81308870218028,20.7,3.41,39.9,51.3,22.8,28.0,51.6,30.1,25.7,21139.329296077707,67.8,56.2,26.9,9.3,15.3151073119968,25.7,29.3,78.6,28.0,6.7
Sardegna,2019,Isole,20,55.7,71.4,52.4,46.1,81.3,90.9,71.0,64.4,54.7,64.7,54.5,35.3,69.5,45.7,46.4,56.1,36.9,70.7,30.7,9.4,456.0,3.4,14.7,64.6,23.0,0.7,5.1,0.36477933889824476,36.097944160158,21.4,3.35,40.0,51.0,17.7,29.7,54.2,34.5,25.7,21725.245189560268,66.6,53.8,25.6,9.7,12.7511405894176,25.7,29.6,81.6,28.0,13.3
Sardegna,2020,Isole,20,56.2,71.4,51.6,48.3,82.8,88.8,71.6,71.4,49.3,59.6,54.5,42.2,61.3,43.4,53.0,63.8,36.2,69.8,30.7,9.4,445.0,9.4,12.9,65.7,23.0,0.6,3.2,0.36727595707523464,42.677367075124764,22.1,3.19,40.0,51.0,12.9,25.9,54.1,26.1,25.7,20105.069026111945,66.5,57.7,31.8,10.2,13.1509517117932,25.7,30.7,77.6,28.0,13.3
Sardegna,2021,Isole,20,55.1,73.0,47.3,48.4,82.8,90.0,73.9,72.5,52.0,59.6,48.6,41.6,42.9,45.7,51.9,69.5,34.4,69.4,30.7,9.4,445.0,5.9,14.0,70.3,23.0,0.6,2.7,0.24707082099780786,45.18148210384809,22.1,3.19,45.9,57.0,13.2,25.9,54.2,7.0,25.9,21745.53307861774,69.0,56.3,31.1,12.2,14.324737005715,25.9,30.7,76.8,28.0,13.3
Sardegna,2022,Isole,20,55.7,73.0,47.6,49.7,82.8,90.0,73.9,72.5,52.0,59.6,50.2,41.6,42.9,45.7,51.9,69.5,34.4,69.4,35.2,9.4,445.0,5.9,14.0,70.3,23.0,0.6,2.7,0.24707082099780786,45.18148210384809,22.1,3.19,44.2,55.3,13.2,25.9,54.2,7.0,25.9,21745.53307861774,69.0,56.3,31.1,12.2,14.324737005715,25.9,30.7,76.8,31.25,13.3
Sicilia,2018,Isole,19,44.1,59.7,34.9,41.2,75.3,82.7,46.8,55.5,46.8,50.9,48.0,9.11,59.2,39.4,48.4,44.4,21.6,41.9,61.0,11.14382920153172,465.0,5.3,29.3,53.6,11.9,0.7,9.1,0.14163839961227132,57.092961313267686,32.5,3.33,47.3,56.6,22.0,8.8,51.5,25.7,27.7,17929.84522312909,65.5,55.3,26.8,5.6,23.2370845961614,27.7,10.0,63.5,43.8,21.4
Sicilia,2019,Isole,19,44.9,61.5,35.3,41.6,79.5,83.8,51.4,59.7,42.9,54.0,47.6,8.98,60.0,39.8,49.1,41.4,22.3,45.2,61.0,10.0,457.0,5.1,27.3,54.3,14.4,0.7,7.2,0.35819163371801127,50.986829423443915,30.3,3.35,47.6,57.3,22.3,9.4,52.0,26.2,27.7,18242.844860279238,66.8,55.3,25.7,5.0,22.8125438436235,27.7,12.4,65.4,43.8,21.4
Sicilia,2020,Isole,19,45.2,64.2,34.5,41.7,81.4,85.2,51.6,63.3,48.1,53.2,47.6,9.12,55.4,38.3,52.9,37.4,20.7,50.3,61.0,10.0,443.0,7.7,21.9,54.7,14.4,0.7,5.6,0.24041346307379433,50.3164413211594,29.4,3.28,47.6,57.3,21.8,8.3,52.1,21.4,27.7,17212.055794005562,67.0,57.5,23.6,4.4,23.6994553384864,27.7,12.5,75.4,43.8,21.4
Sicilia,2021,Isole,19,43.7,60.3,33.0,42.1,81.4,82.2,54.7,66.9,32.7,53.2,44.0,10.4,40.3,39.9,52.5,44.0,19.9,47.2,61.0,10.0,443.0,6.7,29.0,60.9,14.4,0.7,4.0,0.5244631816760633,56.218061904381045,29.4,3.28,50.5,61.6,21.2,8.3,52.4,5.5,27.6,18282.836041377883,65.4,57.7,22.6,6.8,24.0986804215462,27.6,12.5,69.1,43.8,21.4
Sicilia,2022,Isole,19,43.4,60.3,32.9,41.2,81.4,82.2,54.7,66.9,32.7,53.2,43.5,10.4,40.3,39.9,52.5,44.0,19.9,47.2,55.3,10.0,443.0,6.7,29.0,60.9,14.4,0.7,4.0,0.5244631816760633,56.218061904381045,29.4,3.28,51.3,61.7,21.2,8.3,52.4,5.5,27.6,18282.836041377883,65.4,57.7,22.6,6.8,24.0986804215462,27.6,12.5,69.1,39.58333333333333,21.4
Toscana,2018,Centro,9,60.5,60.9,62.7,58.0,46.5,94.6,71.0,42.0,64.1,56.6,67.8,52.2,82.6,58.8,57.3,66.6,41.7,78.8,52.4,14.22415130710057,616.0,2.8,8.0,68.0,22.0,0.4,19.1,0.30985154926204983,27.164103623400027,22.8,3.11,31.4,33.0,10.3,31.4,64.9,40.7,28.0,31756.71526964686,66.2,60.3,34.2,10.3,12.2106975400675,28.0,36.3,84.1,33.3,26.8
Toscana,2019,Centro,9,61.7,65.3,63.3,56.9,48.9,95.0,73.1,47.6,73.5,59.0,66.8,54.2,78.8,60.6,54.1,64.6,40.9,79.5,52.4,13.33333333333333,616.0,3.9,6.0,66.1,23.8,0.4,16.6,0.20933919727314762,20.677179243462405,20.8,3.11,32.5,33.8,10.1,33.3,64.8,36.9,28.1,33049.05212529417,66.4,58.4,33.8,9.8,12.7193533380505,28.1,37.3,83.5,33.3,26.8
Toscana,2020,Centro,9,61.9,70.4,57.1,59.0,53.4,94.6,73.9,63.4,72.9,52.2,66.8,42.3,74.4,55.2,60.7,62.1,39.6,78.6,61.1,13.33333333333333,583.0,5.4,5.3,67.8,23.8,0.4,9.5,0.1577554553808414,24.10120277800092,23.5,2.98,32.5,33.8,12.9,26.0,64.8,32.3,28.0,29235.81317734991,66.6,62.2,35.7,8.4,13.3832765379085,28.0,37.6,81.2,33.3,35.0
Toscana,2021,Centro,9,61.5,70.5,54.2,60.9,53.4,93.9,76.4,62.1,73.4,52.2,63.0,46.1,53.2,57.9,59.4,69.3,40.7,81.8,61.1,13.33333333333333,583.0,5.3,6.8,72.7,23.8,0.4,10.1,0.21054676098810648,20.67423416333068,23.5,2.98,35.7,38.4,11.1,26.0,65.3,9.9,28.3,31246.79276726482,66.1,61.6,35.4,10.8,13.0193424506134,28.3,37.6,87.6,33.3,35.0
Toscana,2022,Centro,9,61.8,70.5,54.2,61.7,53.4,93.9,76.4,62.1,73.4,52.2,63.0,46.1,53.2,57.9,59.4,69.3,40.7,81.8,65.0,13.33333333333333,583.0,5.3,6.8,72.7,23.8,0.4,10.1,0.21054676098810648,20.67423416333068,23.5,2.98,36.0,37.9,11.1,26.0,65.3,9.9,28.3,31246.79276726482,66.1,61.6,35.4,10.8,13.0193424506134,28.3,37.6,87.6,36.11111111111111,35.0
Umbria,2018,Centro,10,58.3,60.1,58.6,56.2,57.5,93.9,66.0,42.8,51.5,53.5,70.2,45.8,81.4,49.6,51.0,68.9,37.9,84.4,49.8,14.64495196594364,526.0,5.8,6.4,63.4,20.4,0.6,16.0,0.7170442860891973,25.639125879359376,21.3,2.93,28.5,31.2,8.3,18.6,68.3,37.1,30.4,26085.609852588273,64.2,57.2,37.2,10.1,16.5626822875446,30.4,42.7,82.4,37.5,19.0
Umbria,2019,Centro,10,62.7,67.6,58.2,62.6,62.0,92.5,70.5,44.8,77.6,54.4,69.1,43.7,81.2,50.0,50.6,72.8,42.9,86.9,70.2,13.23809523809524,521.0,6.9,8.2,66.0,22.3,0.6,15.1,0.22159093427169707,14.909173823820021,21.7,2.98,29.6,32.2,9.3,18.6,71.3,34.8,30.3,26351.755292431193,64.7,56.8,38.9,10.8,13.6451420791175,30.3,43.0,86.8,37.5,38.1
Umbria,2020,Centro,10,63.3,75.6,52.1,64.2,64.0,93.4,69.2,76.9,77.6,46.3,69.1,34.3,74.6,47.1,60.7,70.0,43.4,84.6,70.2,13.23809523809524,506.0,7.7,5.5,63.4,22.3,0.1,8.4,0.22159093427169707,14.909173823820021,26.4,2.89,29.6,32.2,12.6,15.5,71.2,28.1,30.2,24294.132135284628,65.6,62.5,42.1,8.9,13.3008645864346,30.2,44.0,80.2,37.5,38.1
Umbria,2021,Centro,10,62.4,76.6,49.4,64.3,64.0,95.1,72.6,75.1,79.4,46.3,64.6,35.5,55.4,50.0,54.1,82.8,42.7,81.6,70.2,13.23809523809524,506.0,5.9,3.9,70.1,22.3,0.1,9.2,0.22410771513220112,12.68946482035928,26.4,2.89,32.6,38.2,12.0,15.5,71.3,8.1,30.3,26359.166295093375,60.5,60.1,45.1,12.0,13.7662215363381,30.3,44.0,74.3,37.5,38.1
Umbria,2022,Centro,10,62.2,76.6,49.8,63.2,64.0,95.1,72.6,75.1,79.4,46.3,67.5,35.5,55.4,50.0,54.1,82.8,42.7,81.6,64.5,13.23809523809524,506.0,5.9,3.9,70.1,22.3,0.1,9.2,0.22410771513220112,12.68946482035928,26.4,2.89,30.2,34.9,12.0,15.5,71.3,8.1,30.3,26359.166295093375,60.5,60.1,45.1,12.0,13.7662215363381,30.3,44.0,74.3,33.33333333333333,38.1
Valle d'Aosta/Vallée d'Aoste,2018,Nord-ovest,2,65.9,74.4,58.3,65.9,57.0,96.2,69.8,81.7,73.0,51.6,71.8,35.8,75.2,67.5,53.0,70.0,52.3,90.5,71.1,11.3600616528766,596.0,4.2,3.5,64.2,22.4,0.0,8.2,,,17.7,2.7,26.7,29.7,15.1,23.7,61.0,35.7,29.3,38378.54604447974,65.4,58.0,42.7,8.7,7.47699674558769,29.3,45.7,88.5,50.0,22.9
Valle d'Aosta/Vallée d'Aoste,2019,Nord-ovest,2,66.8,78.4,57.5,66.1,58.2,95.7,80.5,89.3,74.0,44.9,70.3,38.2,76.4,68.2,57.6,70.1,50.1,87.7,71.1,10.5,605.0,3.5,5.2,65.7,28.3,0.0,4.8,,,21.7,2.63,29.0,30.3,14.1,24.1,61.9,36.4,29.2,38856.72268156425,67.2,60.2,38.1,10.2,8.58762068762781,29.2,43.9,86.6,50.0,22.9
Valle d'Aosta/Vallée d'Aoste,2020,Nord-ovest,2,65.9,78.0,57.4,63.8,57.6,93.7,81.7,92.8,70.5,49.2,70.3,37.9,74.8,63.7,64.1,66.5,51.4,81.9,58.9,10.5,609.0,9.7,3.0,68.2,28.3,0.0,3.2,,,16.8,2.57,29.0,30.3,13.2,21.4,61.2,35.2,29.2,35683.1432905297,67.3,64.0,39.2,8.7,7.86215999840919,29.2,40.6,81.7,50.0,11.4
Valle d'Aosta/Vallée d'Aoste,2021,Nord-ovest,2,61.6,68.1,52.8,65.0,57.6,93.6,81.2,95.5,35.1,49.2,66.8,36.0,51.3,67.6,62.3,72.0,53.0,83.1,58.9,10.5,609.0,11.7,1.1,67.2,28.3,0.0,2.0,1.583380834758376,,16.8,2.57,30.8,35.6,14.1,21.4,62.0,10.3,29.0,38313.59271624898,64.6,63.7,38.4,10.7,6.77042886197671,29.0,40.6,84.1,50.0,11.4
Valle d'Aosta/Vallée d'Aoste,2022,Nord-ovest,2,61.9,68.1,53.5,65.0,57.6,93.6,81.2,95.5,35.1,49.2,71.0,36.0,51.3,67.6,62.3,72.0,53.0,83.1,58.9,10.5,609.0,11.7,1.1,67.2,28.3,0.0,2.0,1.583380834758376,,16.8,2.57,27.5,30.4,14.1,21.4,62.0,10.3,29.0,38313.59271624898,64.6,63.7,38.4,10.7,6.77042886197671,29.0,40.6,84.1,50.0,11.4
Veneto,2018,Nord-est,5,58.1,68.4,56.2,51.1,45.6,97.2,72.4,63.3,73.8,36.5,71.3,42.6,80.1,63.0,55.2,69.0,28.1,68.6,47.5,21.0687655763988,484.0,2.8,2.8,68.0,22.8,0.2,12.7,0.23892131803334307,18.733899533086458,22.2,2.34,28.6,28.8,10.9,21.3,64.6,38.3,24.5,33464.08163492258,66.4,59.0,36.7,10.3,16.5894759138378,24.5,29.1,78.3,33.8,21.6
Veneto,2019,Nord-est,5,58.8,69.6,57.4,50.8,46.6,96.7,75.0,57.8,83.8,35.4,70.8,48.7,79.8,63.8,55.1,65.9,27.7,70.8,47.5,20.3,492.0,3.1,3.5,69.9,23.8,0.4,12.0,0.20067797045538646,8.445054391940538,23.1,2.34,29.6,28.9,8.3,22.1,64.7,38.0,24.7,34109.53428214425,65.6,59.2,32.6,10.6,16.9965062591571,24.7,30.6,79.7,33.8,21.6
Veneto,2020,Nord-est,5,58.0,71.3,52.6,52.0,48.8,96.2,74.7,68.4,76.8,32.0,70.8,40.2,74.0,59.8,60.5,58.9,24.9,69.1,62.1,20.3,476.0,4.7,2.9,69.4,23.8,0.3,8.8,0.20145133600511525,17.05530180900534,26.0,2.34,29.6,28.9,11.2,19.2,65.7,31.2,24.8,31322.756845214895,66.9,62.0,33.8,8.0,18.6640576860751,24.8,31.1,75.4,33.8,35.3
Veneto,2021,Nord-est,5,57.1,66.9,50.1,55.5,48.8,95.8,76.6,63.0,59.2,32.0,67.0,44.2,52.4,63.3,56.3,70.6,30.1,70.8,62.1,20.3,476.0,4.3,4.0,73.1,23.8,0.3,11.2,0.5658004732920959,22.019587977034785,26.0,2.34,32.2,33.7,9.3,19.2,65.5,9.0,24.9,33833.91612435169,66.7,59.6,37.3,10.6,15.7940829351492,24.9,31.1,78.7,33.8,35.3
Veneto,2022,Nord-est,5,57.6,66.9,50.1,57.0,48.8,95.8,76.6,63.0,59.2,32.0,67.1,44.2,52.4,63.3,56.3,70.6,30.1,70.8,71.2,20.3,476.0,4.3,4.0,73.1,23.8,0.3,11.2,0.5658004732920959,22.019587977034785,26.0,2.34,32.6,33.2,9.3,19.2,65.5,9.0,24.9,33833.91612435169,66.7,59.6,37.3,10.6,15.7940829351492,24.9,31.1,78.7,40.42553191489361,35.3
