territorio,anno,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Sud,2018,,449.0,6.7,18.7,56.2,13.0,0.9,8.1,,,,2.96,,,17.1,6.7,54.3,26.2,27.9,,65.7,55.6,26.8,6.1,24.5318097577924,27.9,13.3,66.1,36.4,12.6
Nord-est,2018,,555.0,3.5,2.5,68.9,22.5,0.4,13.9,,,,2.59,,,10.5,30.5,66.8,40.0,24.7,35231.89040972317,66.4,59.5,38.3,11.4,14.7590138671503,24.7,33.6,81.3,35.8,24.5
Centro,2018,,554.0,5.7,10.6,67.6,22.2,0.4,13.5,,,,3.07,30.6,35.2,10.4,24.3,67.7,38.9,27.7,32140.8593691335,66.1,59.0,36.5,9.1,14.740767495167,27.7,33.3,82.4,37.5,25.7
Nord-ovest,2018,,492.0,3.7,3.3,69.5,23.3,0.4,13.7,,,,2.52,,,13.2,21.9,64.7,38.5,24.8,36691.82664016899,66.5,57.7,39.8,9.4,15.2647097742876,24.8,29.9,82.3,31.0,23.3
Isole,2018,,464.0,6.3,26.2,57.1,14.1,0.7,8.3,,,,3.35,,,22.2,13.6,51.5,26.8,27.2,,66.1,55.5,26.8,6.5,21.3425491412541,27.2,13.8,65.1,39.8,14.6
Sud,2019,,447.0,6.6,12.9,57.7,17.6,0.7,7.2,0.15626053204864448,,,3.0,,,16.7,6.8,54.7,29.5,27.9,,66.6,55.7,27.3,6.0,24.7967969739224,27.9,14.5,68.2,36.4,14.6
Nord-est,2019,,560.0,3.7,3.2,69.2,24.6,0.4,12.5,0.25218946692022354,,,2.61,,,9.5,30.8,67.4,39.7,24.9,35791.65462655119,66.5,59.9,37.2,11.1,14.7024589823564,24.9,34.5,80.2,35.8,24.5
Centro,2019,,549.0,5.1,9.0,68.3,23.5,0.4,12.1,0.19600825913467906,,,3.09,31.6,35.8,10.6,24.2,68.2,37.2,27.7,32895.94673310942,66.6,57.7,39.3,9.2,14.4139208417147,27.7,35.3,82.7,37.5,28.5
Nord-ovest,2019,,493.0,4.5,3.0,68.5,25.3,0.5,11.5,0.2196790172244215,,,2.51,,,11.0,22.2,64.7,37.8,25.0,37068.0445647865,66.8,58.2,37.6,9.6,14.9586768379422,25.0,31.4,84.4,31.0,20.9
Isole,2019,,456.0,4.7,24.0,57.0,16.6,0.7,6.7,0.3598161519371677,,,3.35,,,21.3,14.4,52.5,28.2,27.2,,66.7,54.9,25.6,6.2,20.3947956891934,27.2,15.7,65.5,39.8,17.7
Sud,2020,,441.0,7.1,16.6,58.8,17.6,0.6,5.1,0.1429260127772997,,,2.93,,,17.5,4.7,55.0,22.4,27.8,,66.7,58.0,27.9,5.7,24.9654370391567,27.8,15.2,66.0,36.4,14.6
Nord-est,2020,,541.0,3.9,2.7,70.7,24.6,0.3,8.6,0.20232254479273615,,,2.6,,,10.5,27.7,67.9,33.4,25.0,33227.7184217101,67.7,63.0,37.7,9.0,15.8328347817918,25.0,35.0,77.2,35.8,26.8
Centro,2020,,522.0,6.5,8.6,69.6,23.5,0.4,7.7,0.16414326489817618,,,3.02,31.6,35.8,12.0,21.5,68.4,33.1,27.6,29994.50168676433,66.6,61.4,41.6,7.9,15.16436911133,27.6,36.1,81.0,37.5,32.9
Nord-ovest,2020,,479.0,5.8,3.2,68.2,25.3,0.5,6.9,0.3186305552854345,,,2.44,,,12.6,19.4,65.0,34.2,25.0,34598.25661180765,65.2,59.6,37.2,7.8,14.3298031706815,25.0,30.8,82.4,31.0,19.4
Isole,2020,,444.0,8.2,19.5,57.6,16.6,0.7,5.0,0.2716960626712251,,,3.25,,,19.9,12.7,52.6,22.5,27.1,,67.0,57.6,25.5,5.9,21.1572472460949,27.1,15.9,70.7,39.8,17.7
Sud,2021,,441.0,6.4,15.5,63.7,17.6,0.6,4.9,0.1589968283023605,,,2.93,,,15.3,4.7,55.2,5.2,27.8,,66.9,57.6,28.4,7.7,24.6898642996262,27.8,15.2,64.7,36.4,16.0
Nord-est,2021,,541.0,3.7,3.5,72.9,24.6,0.3,9.4,0.27099754620190586,,,2.6,,,9.6,27.7,67.7,9.7,25.1,35832.653769162265,66.6,60.1,38.7,11.9,14.5488715769656,25.1,35.0,78.5,35.8,26.8
Centro,2021,,522.0,6.4,9.0,72.9,23.5,0.4,7.8,0.263543370261799,,,3.02,34.9,40.7,9.8,21.5,68.8,10.6,27.8,32126.111567865104,65.0,60.2,37.4,10.9,14.8333357293456,27.8,36.1,84.5,37.5,32.9
Nord-ovest,2021,,479.0,6.2,3.1,72.2,25.3,0.5,7.7,0.23396018243968755,,,2.44,,,11.5,19.4,65.1,9.2,25.2,37505.55737469746,65.5,60.0,35.1,10.8,13.8655755258803,25.2,30.8,76.8,31.0,19.4
Isole,2021,,444.0,6.5,25.0,63.4,16.6,0.7,3.7,0.2432935006118071,,,3.25,,,19.5,12.7,52.8,5.9,27.2,,66.3,57.4,24.5,8.2,21.7594303192856,27.2,15.9,66.1,39.8,17.7
Sud,2022,,441.0,6.4,15.5,63.7,17.6,0.6,4.9,0.1589968283023605,,,2.93,,,15.3,4.7,55.2,5.2,27.8,,66.9,57.6,28.4,7.7,24.6898642996262,27.8,15.2,64.7,28.467153284671532,16.0
Nord-est,2022,,541.0,3.7,3.5,72.9,24.6,0.3,9.4,0.27099754620190586,,,2.6,,,9.6,27.7,67.7,9.7,25.1,35832.653769162265,66.6,60.1,38.7,11.9,14.5488715769656,25.1,35.0,78.5,46.08695652173913,26.8
Centro,2022,,522.0,6.4,9.0,72.9,23.5,0.4,7.8,0.263543370261799,,,3.02,35.2,40.0,9.8,21.5,68.8,10.6,27.8,32126.111567865104,65.0,60.2,37.4,10.9,14.8333357293456,27.8,36.1,84.5,30.434782608695656,32.9
Nord-ovest,2022,,479.0,6.2,3.1,72.2,25.3,0.5,7.7,0.23396018243968755,,,2.44,,,11.5,19.4,65.1,9.2,25.2,37505.55737469746,65.5,60.0,35.1,10.8,13.8655755258803,25.2,30.8,76.8,28.662420382165603,19.4
Isole,2022,,444.0,6.5,25.0,63.4,16.6,0.7,3.7,0.2432935006118071,,,3.25,,,19.5,12.7,52.8,5.9,27.2,,66.3,57.4,24.5,8.2,21.7594303192856,27.2,15.9,66.1,37.5,17.7
