,territorio,anno,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,area,codice_istat
0,Abruzzo,2018,13.37636986301369,463.0,9.1,16.2,62.3,17.2,0.5,9.1,0.19715961993540065,27.9961359657067,29.9,3.01,31.7,37.8,8.4,8.9,66.7,27.9,31.1,25112.592402178914,66.0,55.7,29.2,6.8,24.5694108248437,31.1,22.8,80.6,23.8,6.5,Sud,13
1,Abruzzo,2019,11.875,463.0,11.9,12.0,67.2,21.5,0.5,9.0,0.4518814082432207,27.9961359657067,31.2,3.01,33.0,38.4,9.9,9.5,67.7,31.8,31.1,25388.41410082479,66.3,56.5,36.5,7.6,22.5096543761741,31.1,19.4,87.9,23.8,16.1,Sud,13
2,Abruzzo,2020,11.875,454.0,12.9,16.9,63.4,21.5,0.2,5.5,0.15152146490952276,23.31687379406212,30.1,2.8,33.0,38.4,10.1,7.4,67.9,26.4,30.9,23547.369047766988,66.9,61.4,36.9,7.0,22.8090762982458,30.9,20.1,88.1,23.8,16.1,Sud,13
3,Abruzzo,2021,11.875,454.0,10.3,18.0,68.1,21.5,0.2,6.5,0.30605889491314814,36.96979207532365,30.1,2.8,36.0,43.6,8.0,7.4,68.3,5.6,30.9,25489.350661712942,66.8,59.3,37.6,9.6,22.3088272234227,30.9,20.1,77.8,23.8,16.1,Sud,13
4,Abruzzo,2022,11.875,454.0,10.3,18.0,68.1,21.5,0.2,6.5,0.30605889491314814,36.96979207532365,30.1,2.8,35.6,43.1,8.0,7.4,68.3,5.6,30.9,25489.350661712942,66.8,59.3,37.6,9.6,22.3088272234227,30.9,20.1,77.8,30.76923076923077,16.1,Sud,13
5,Basilicata,2018,10.4351104276139,356.0,4.6,12.6,58.7,16.1,1.1,5.1,0.230511279781337,36.333628057765985,29.0,2.16,38.2,47.4,11.0,11.1,61.4,29.3,31.7,22955.945754279604,64.5,55.4,30.3,8.6,24.7287355181543,31.7,13.5,73.1,15.4,,Sud,17
6,Basilicata,2019,10.6,355.0,4.9,10.1,57.1,17.8,0.2,3.8,0.230511279781337,40.11644797366,32.4,2.05,37.9,45.2,11.7,11.9,62.7,27.3,31.5,22795.42336211549,66.1,52.7,35.0,7.1,25.9703480143641,31.5,17.3,82.3,15.4,4.8,Sud,17
7,Basilicata,2020,10.6,344.0,4.9,9.3,51.4,17.8,0.5,3.5,0.230511279781337,46.723798437132345,33.6,2.06,37.9,45.2,13.6,6.7,63.3,22.5,31.3,20815.053630735612,66.7,57.6,30.3,6.8,25.8744739604676,31.3,15.3,74.4,15.4,4.8,Sud,17
8,Basilicata,2021,10.6,344.0,6.8,8.2,61.4,17.8,0.5,3.1,0.230511279781337,33.15715604334467,33.6,2.06,41.2,51.5,8.7,6.7,63.3,4.3,31.3,23470.294905174,65.1,55.7,35.6,10.3,24.5717451827728,31.3,15.3,75.2,15.4,4.8,Sud,17
9,Basilicata,2022,10.6,344.0,6.8,8.2,61.4,17.8,0.5,3.1,0.230511279781337,33.15715604334467,33.6,2.06,40.0,48.9,8.7,6.7,63.3,4.3,31.3,23470.294905174,65.1,55.7,35.6,10.3,24.5717451827728,31.3,15.3,75.2,14.285714285714285,4.8,Sud,17
10,Calabria,2018,12.33615015681607,409.0,6.2,39.6,51.7,12.2,1.8,5.7,0.2667275694616938,57.50891124275367,33.8,2.64,48.0,58.3,20.0,8.3,54.2,23.6,26.6,17259.730806005944,65.6,53.7,22.4,5.6,22.0430476358504,26.6,12.2,59.8,41.9,3.2,Sud,18
11,Calabria,2019,11.92307692307692,403.0,3.8,31.2,52.8,16.7,1.6,5.3,0.20613605185558523,50.15576122644192,29.9,2.68,49.0,59.0,18.9,8.0,54.7,23.3,26.7,17517.416853029266,64.6,48.5,23.4,5.5,23.5387846947774,26.7,17.0,76.9,41.9,3.2,Sud,18
12,Calabria,2020,11.92307692307692,381.0,3.0,38.8,51.6,16.7,0.7,3.6,0.20778735042557447,42.98609304454639,30.1,2.7,49.0,59.0,16.9,5.0,54.5,14.8,26.6,16491.733566634706,66.6,52.7,29.1,5.6,24.2102762645752,26.6,15.1,71.9,41.9,9.7,Sud,18
13,Calabria,2021,11.92307692307692,381.0,4.5,28.8,59.3,16.7,0.7,2.6,0.21079657919311287,43.84891859511949,30.1,2.7,51.0,63.2,14.0,5.0,55.7,3.6,26.5,17595.239931108717,67.9,53.8,26.9,7.6,23.1976340853071,26.5,15.1,69.6,41.9,19.4,Sud,18
14,Calabria,2022,11.92307692307692,381.0,4.5,28.8,59.3,16.7,0.7,2.6,0.21079657919311287,43.84891859511949,30.1,2.7,51.0,62.2,14.0,5.0,55.7,3.6,26.5,17595.239931108717,67.9,53.8,26.9,7.6,23.1976340853071,26.5,15.1,69.6,36.84210526315789,19.4,Sud,18
15,Campania,2018,14.17253011347708,453.0,7.3,17.8,57.0,11.8,0.7,7.3,0.20066168189605224,54.9886986481385,35.4,3.32,45.0,54.0,18.4,4.7,53.1,26.1,27.9,18941.793266221568,65.4,55.9,25.0,6.1,24.6083072920565,27.9,15.0,58.2,36.8,23.5,Sud,15
16,Campania,2019,14.0,453.0,6.9,10.6,59.0,16.6,0.6,6.8,0.10224495847150604,58.20169185809129,37.8,3.37,44.9,54.1,17.2,4.2,52.9,30.9,27.9,19395.932438964755,67.4,57.9,26.7,5.4,24.2866904025268,27.9,19.1,55.5,36.8,23.5,Sud,15
17,Campania,2020,14.0,452.0,7.9,15.7,61.8,16.6,0.7,4.7,0.20549074700852563,55.785803846604765,39.1,3.28,44.9,54.1,19.0,2.8,53.4,23.4,27.8,18097.777867047742,66.3,57.1,27.1,5.2,24.5969521292927,27.8,15.6,56.1,36.8,15.7,Sud,15
18,Campania,2021,14.0,452.0,6.8,17.1,66.0,16.6,0.7,5.0,0.2433222384186001,58.521993242092904,39.1,3.28,48.8,60.8,16.4,2.8,53.4,5.8,27.7,19580.140670839035,67.3,57.8,26.1,7.2,24.7357921143607,27.7,15.6,59.9,36.8,15.7,Sud,15
19,Campania,2022,14.0,452.0,6.8,17.1,66.0,16.6,0.7,5.0,0.2433222384186001,58.521993242092904,39.1,3.28,48.0,58.2,16.4,2.8,53.4,5.8,27.7,19580.140670839035,67.3,57.8,26.1,7.2,24.7357921143607,27.7,15.6,59.9,29.629629629629626,15.7,Sud,15
20,Emilia-Romagna,2018,16.84637371107597,661.0,3.6,2.7,69.1,22.1,0.4,17.2,0.18913653570101238,15.815466374764448,24.7,2.92,30.3,32.5,10.8,33.2,68.2,41.3,24.9,36267.160553372116,65.6,58.4,38.8,12.0,13.8987427852168,24.9,35.2,85.2,35.8,36.0,Nord-est,8
21,Emilia-Romagna,2019,16.41666666666667,664.0,4.8,3.3,68.4,25.0,0.5,14.8,0.3930007440814088,17.354669647363423,23.5,2.94,31.7,33.1,11.1,33.2,69.1,40.8,25.1,36544.041467793264,66.0,58.9,40.5,11.3,12.5003117066411,25.1,33.2,82.2,35.8,36.0,Nord-est,8
22,Emilia-Romagna,2020,16.41666666666667,639.0,3.1,3.1,70.6,25.0,0.3,10.3,0.13128312847695162,10.941643417987287,24.4,2.95,31.7,33.1,10.1,31.1,68.9,33.8,25.1,34201.12803639223,67.8,63.0,40.6,9.7,13.347143462405,25.1,31.5,79.0,35.8,32.0,Nord-est,8
23,Emilia-Romagna,2021,16.41666666666667,639.0,3.0,3.6,73.0,25.0,0.3,10.0,0.6166651103213883,10.949610569568389,24.4,2.95,34.5,37.6,9.9,31.1,68.7,9.8,25.3,36913.46292754997,66.3,59.5,41.3,13.1,13.7211895939976,25.3,31.5,81.0,35.8,32.0,Nord-est,8
24,Emilia-Romagna,2022,16.41666666666667,639.0,3.0,3.6,73.0,25.0,0.3,10.0,0.6166651103213883,10.949610569568389,24.4,2.95,34.8,36.9,9.9,31.1,68.7,9.8,25.3,36913.46292754997,66.3,59.5,41.3,13.1,13.7211895939976,25.3,31.5,81.0,48.837209302325576,32.0,Nord-est,8
25,Friuli-Venezia Giulia,2018,14.00213735425535,492.0,3.2,1.2,67.7,22.4,0.7,10.2,0.425146795216886,14.39418507128879,24.0,2.51,25.6,26.7,8.9,38.0,68.6,39.9,28.6,31765.24548893294,66.0,58.3,39.2,12.6,13.3571809822789,28.6,26.9,81.3,35.0,14.3,Nord-est,6
26,Friuli-Venezia Giulia,2019,12.75,499.0,1.8,2.7,67.8,25.8,0.3,8.7,0.425146795216886,7.991379017751078,22.9,2.52,28.3,28.5,8.7,38.6,70.1,38.4,28.7,32530.139267566006,68.0,61.6,37.6,12.1,15.9131865282222,28.7,28.1,77.9,35.0,14.3,Nord-est,6
27,Friuli-Venezia Giulia,2020,12.75,496.0,2.5,1.8,73.6,25.8,0.2,5.0,0.3238945075588881,23.944793549682934,21.0,2.49,28.3,28.5,8.8,32.5,71.2,36.4,28.4,30412.88575213888,68.9,64.0,41.3,9.4,15.9841393515114,28.4,28.8,79.2,35.0,14.3,Nord-est,6
28,Friuli-Venezia Giulia,2021,12.75,496.0,2.3,3.0,70.5,25.8,0.2,5.3,0.3238945075588881,13.77769524494841,21.0,2.49,32.0,35.0,8.6,32.5,70.6,10.9,28.6,32638.4086979384,65.8,59.3,37.0,12.8,14.2018219978323,28.6,28.8,71.6,35.0,14.3,Nord-est,6
29,Friuli-Venezia Giulia,2022,12.75,496.0,2.3,3.0,70.5,25.8,0.2,5.3,0.3238945075588881,13.77769524494841,21.0,2.49,32.1,33.5,8.6,32.5,70.6,10.9,28.6,32638.4086979384,65.8,59.3,37.0,12.8,14.2018219978323,28.6,28.8,71.6,50.0,14.3,Nord-est,6
30,Lazio,2018,12.76834765639359,524.0,7.7,14.4,67.9,22.9,0.4,10.2,0.12029114832117299,31.200157810275797,26.4,3.25,31.2,38.4,11.0,21.1,70.1,39.9,27.1,34514.44034067685,66.6,58.2,39.0,8.3,15.5849889973545,27.1,34.6,81.0,40.2,31.4,Centro,12
31,Lazio,2019,12.58333333333333,517.0,5.5,11.8,70.2,23.9,0.5,9.4,0.2012728832592118,25.3413589941191,26.3,3.28,32.2,39.3,11.6,19.3,70.5,38.6,27.1,35040.3514076053,67.0,57.4,43.6,8.8,15.440451187984,27.1,33.4,78.8,40.2,31.4,Centro,12
32,Lazio,2020,12.58333333333333,490.0,7.5,12.3,72.2,23.9,0.5,6.7,0.13478028959566923,29.229261348080822,20.5,3.23,32.2,39.3,12.2,19.9,71.1,35.9,26.9,32359.57196221487,66.9,60.8,45.5,7.9,16.4628731078706,26.9,29.1,78.7,40.2,31.4,Centro,12
33,Lazio,2021,12.58333333333333,490.0,7.3,12.4,74.8,23.9,0.5,6.8,0.5069666512267156,28.43721528013134,20.5,3.23,35.5,43.9,9.2,19.9,71.3,12.3,27.0,34548.96564219061,65.7,60.2,37.7,10.7,15.7749534484399,27.0,29.1,84.3,40.2,31.4,Centro,12
34,Lazio,2022,12.58333333333333,490.0,7.3,12.4,74.8,23.9,0.5,6.8,0.5069666512267156,28.43721528013134,20.5,3.23,36.1,43.5,9.2,19.9,71.3,12.3,27.0,34548.96564219061,65.7,60.2,37.7,10.7,15.7749534484399,27.0,29.1,84.3,27.27272727272727,31.4,Centro,12
35,Liguria,2018,12.97508446762826,541.0,3.1,3.2,65.6,18.1,0.5,10.7,0.40843107939961454,20.25392528936883,15.3,2.67,31.9,36.4,12.8,27.3,67.3,35.7,26.5,32153.158895466077,67.3,56.8,39.6,9.5,15.3232737348801,26.5,25.5,83.7,25.0,16.1,Nord-ovest,7
36,Liguria,2019,12.14285714285714,538.0,4.8,3.3,63.1,22.0,0.5,9.1,0.3764370484323907,20.252927175245837,18.1,2.79,32.4,35.0,9.7,26.6,68.9,36.4,26.7,32858.291606383675,67.1,58.4,40.9,10.3,14.049301646281,26.7,22.5,83.3,25.0,16.1,Nord-ovest,7
37,Liguria,2020,12.14285714285714,520.0,5.9,3.1,63.8,22.0,0.6,5.5,0.5061327472316121,26.85285059569421,18.6,2.73,32.4,35.0,10.0,22.8,69.4,32.4,26.5,29886.30194979299,66.2,59.8,36.8,9.3,13.463432345217,26.5,26.7,76.1,25.0,19.4,Nord-ovest,7
38,Liguria,2021,12.14285714285714,520.0,8.6,5.3,71.2,22.0,0.6,5.7,0.508477269477063,33.52089403390758,18.6,2.73,37.5,42.2,12.9,22.8,69.0,7.5,26.5,32209.002483651497,67.8,62.9,33.2,11.6,14.7597889792725,26.5,26.7,70.8,25.0,19.4,Nord-ovest,7
39,Liguria,2022,12.14285714285714,520.0,8.6,5.3,71.2,22.0,0.6,5.7,0.508477269477063,33.52089403390758,18.6,2.73,38.6,42.7,12.9,22.8,69.0,7.5,26.5,32209.002483651497,67.8,62.9,33.2,11.6,14.7597889792725,26.5,26.7,70.8,26.666666666666668,19.4,Nord-ovest,7
40,Lombardia,2018,21.32356286726164,481.0,4.1,3.0,72.5,24.2,0.4,14.1,0.22103268355033487,16.569047205076938,18.3,2.61,27.2,29.4,13.1,22.8,65.1,39.6,23.3,39552.491021402144,67.4,58.0,39.9,9.5,15.9339813078905,23.3,25.6,79.8,29.8,24.7,Nord-ovest,3
41,Lombardia,2019,19.76666666666667,483.0,4.9,3.0,71.7,26.6,0.4,11.7,0.23474502142488468,20.49078484158211,19.1,2.59,29.1,30.3,11.3,23.2,64.6,38.6,23.6,39902.70880190035,67.0,58.6,40.0,9.7,15.7078268820812,23.6,26.5,83.9,29.8,24.7,Nord-ovest,3
42,Lombardia,2020,19.76666666666667,468.0,4.4,2.8,70.5,26.6,0.4,6.9,0.19607818146898442,17.27706448196849,21.9,2.52,29.1,30.3,13.1,20.1,65.0,35.2,23.6,37467.12109610675,65.2,59.7,39.0,7.9,14.9106183338043,23.6,28.7,82.5,29.8,24.7,Nord-ovest,3
43,Lombardia,2021,19.76666666666667,468.0,4.3,2.5,73.4,26.6,0.4,8.1,0.39356110419864765,19.06453320900288,21.9,2.52,33.6,36.6,11.3,20.1,64.9,9.3,24.1,40679.632642636316,65.5,59.9,36.6,10.6,13.9126093853519,24.1,28.7,77.3,29.8,24.7,Nord-ovest,3
44,Lombardia,2022,19.76666666666667,468.0,4.3,2.5,73.4,26.6,0.4,8.1,0.39356110419864765,19.06453320900288,21.9,2.52,32.9,34.7,11.3,20.1,64.9,9.3,24.1,40679.632642636316,65.5,59.9,36.6,10.6,13.9126093853519,24.1,28.7,77.3,28.865979381443296,24.7,Nord-ovest,3
45,Marche,2018,12.54492635792983,532.0,5.2,4.0,67.9,21.2,0.6,11.0,0.12653388060642629,19.39244635628386,20.2,2.36,27.5,30.1,9.7,22.8,64.8,31.6,27.2,27557.569125582617,64.9,59.2,31.9,8.9,16.4142977641269,27.2,28.3,83.4,37.5,19.4,Centro,11
46,Marche,2019,12.45454545454546,525.0,5.6,5.8,67.8,21.5,0.3,9.6,0.1283520748754664,24.38370662284136,23.6,2.39,28.3,29.3,8.5,23.7,65.4,34.2,27.4,28134.531175074182,66.4,57.6,35.5,8.2,14.8227855448157,27.4,28.0,95.5,37.5,19.4,Centro,11
47,Marche,2020,12.45454545454546,500.0,5.2,4.1,67.4,21.5,0.6,6.3,0.38763421026959316,22.834773170881146,24.7,2.38,28.3,29.3,9.2,20.3,65.2,27.4,27.4,26119.238427764863,65.5,61.2,40.1,6.7,15.3315238478668,27.4,33.4,90.9,37.5,29.0,Centro,11
48,Marche,2021,12.45454545454546,500.0,5.8,4.4,67.7,21.5,0.6,5.0,0.13049668342679072,9.272044627525645,24.7,2.38,31.7,35.3,7.9,20.3,66.0,7.2,27.6,28331.806065035198,62.2,57.2,36.7,11.4,16.0287021524054,27.6,33.4,84.6,37.5,29.0,Centro,11
49,Marche,2022,12.45454545454546,500.0,5.8,4.4,67.7,21.5,0.6,5.0,0.13049668342679072,9.272044627525645,24.7,2.38,32.5,34.3,7.9,20.3,66.0,7.2,27.6,28331.806065035198,62.2,57.2,36.7,11.4,16.0287021524054,27.6,33.4,84.6,26.666666666666668,29.0,Centro,11
50,Molise,2018,,382.0,2.0,17.8,55.4,15.6,0.0,7.0,,26.929286406199548,31.8,2.06,33.3,41.0,10.2,7.7,62.1,25.1,32.9,20842.961087811273,64.0,55.5,33.6,8.5,22.8016327293772,32.9,21.6,86.6,40.0,28.6,Sud,14
51,Molise,2019,13.66666666666667,368.0,7.9,12.2,58.0,18.9,0.0,6.3,,48.065110565110565,33.5,2.15,34.1,43.4,10.7,8.1,62.4,24.2,32.9,21467.70776637988,64.5,54.4,31.2,8.8,22.7703931902834,32.9,27.6,81.7,40.0,28.6,Sud,14
